Position,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCH,Assists_Position,ASSISTS,ASSISTS PER MATCH,Pass_Position,Completed Pass,Total Pass,Pass_Completion_Rate,Goals_Per_90,Assists_Scaled
250,AINGERU OLABARRIETA,ATHLETIC CLUB,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
145,AITOR PAREDES,ATHLETIC CLUB,1,28,0.04,239,0,0.0,33,1060,1250,84.8,3.214285714285714,-0.5650052570227949
27,ALEX BERENGUER,ATHLETIC CLUB,6,27,0.22,74,2,0.07,294,243,344,70.63953488372093,20.0,0.516714209414009
250,ANDER HERRERA,ATHLETIC CLUB,0,17,0.0,74,2,0.12,211,464,541,85.76709796672827,0.0,1.289370971154583
145,ASIER VILLALIBRE,ATHLETIC CLUB,1,13,0.08,137,1,0.08,434,66,93,70.96774193548387,6.923076923076923,0.6712455617621238
250,BEÑAT PRADOS,ATHLETIC CLUB,0,20,0.0,239,0,0.0,217,440,523,84.13001912045888,0.0,-0.5650052570227949
250,DANI VIVIAN,ATHLETIC CLUB,0,27,0.0,239,0,0.0,25,1112,1332,83.48348348348348,0.0,-0.5650052570227949
145,DANIEL GARCÍA CARRILLO,ATHLETIC CLUB,1,13,0.08,239,0,0.0,344,208,242,85.9504132231405,6.923076923076923,-0.5650052570227949
7,GORKA GURUZETA,ATHLETIC CLUB,13,29,0.45,46,3,0.1,205,378,553,68.35443037974683,40.3448275862069,0.9803082664583537
250,HUGO RINCÓN,ATHLETIC CLUB,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
145,IKER MUNIAIN,ATHLETIC CLUB,1,16,0.06,239,0,0.0,330,236,264,89.39393939393939,5.625,-0.5650052570227949
250,IMANOL GARCÍA DE ALBÉNIZ,ATHLETIC CLUB,0,6,0.0,239,0,0.0,359,170,200,85.0,0.0,-0.5650052570227949
17,IÑAKI WILLIAMS,ATHLETIC CLUB,9,27,0.33,46,3,0.11,166,477,656,72.71341463414635,30.0,1.1348396188064682
250,JAVIER MARTÓN,ATHLETIC CLUB,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,JULEN AGIRREZABALA,ATHLETIC CLUB,0,1,0.0,239,0,0.0,505,19,30,63.33333333333333,0.0,-0.5650052570227949
250,MALCOM ABDULAI ARES DJALÓ,ATHLETIC CLUB,0,10,0.0,239,0,0.0,471,51,61,83.60655737704919,0.0,-0.5650052570227949
250,MIKEL JAUREGIZAR,ATHLETIC CLUB,0,4,0.0,239,0,0.0,492,29,40,72.5,0.0,-0.5650052570227949
66,MIKEL VESGA,ATHLETIC CLUB,3,22,0.14,137,1,0.05,149,540,693,77.92207792207793,12.272727272727272,0.2076515047177793
66,NICHOLAS WILLIAMS ARTHUER,ATHLETIC CLUB,3,24,0.13,2,8,0.33,237,375,470,79.7872340425532,11.25,4.534529370464996
66,OIHAN SANCET,ATHLETIC CLUB,3,27,0.11,14,5,0.19,152,571,689,82.87373004354136,10.0,2.3710904375913873
250,PERU NOLASKOAIN,ATHLETIC CLUB,0,2,0.0,239,0,0.0,533,5,8,62.5,0.0,-0.5650052570227949
250,RAÚL GARCÍA,ATHLETIC CLUB,0,13,0.0,239,0,0.0,468,36,64,56.25,0.0,-0.5650052570227949
250,UNAI EGILUZ,ATHLETIC CLUB,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
95,UNAI GÓMEZ,ATHLETIC CLUB,2,20,0.1,239,0,0.0,394,114,150,76.0,9.0,-0.5650052570227949
250,UNAI SIMÓN,ATHLETIC CLUB,0,29,0.0,239,0,0.0,94,464,863,53.76593279258402,0.0,-0.5650052570227949
250,YERAY ÁLVAREZ,ATHLETIC CLUB,0,13,0.0,239,0,0.0,250,363,447,81.20805369127517,0.0,-0.5650052570227949
66,YURI BERCHICHE,ATHLETIC CLUB,3,22,0.14,137,1,0.05,109,662,812,81.5270935960591,12.272727272727272,0.2076515047177793
250,ÁLEX PADILLA,ATHLETIC CLUB,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,ÍÑIGO LEKUE,ATHLETIC CLUB,0,21,0.0,74,2,0.1,129,596,753,79.15006640106242,0.0,0.9803082664583537
145,ÍÑIGO RUÍZ DE GALARRETA,ATHLETIC CLUB,1,24,0.04,137,1,0.04,70,774,942,82.16560509554141,3.75,0.053120152369664414
145,ÓSCAR DE MARCOS,ATHLETIC CLUB,1,23,0.04,26,4,0.17,79,760,922,82.4295010845987,3.9130434782608696,2.0620277328951575
250,ADRIÁN NIÑO,ATLÉTICO DE MADRID,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,AITOR GISMERA,ATLÉTICO DE MADRID,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
11,ANTOINE GRIEZMANN,ATLÉTICO DE MADRID,11,26,0.42,10,6,0.23,63,808,976,82.78688524590164,38.07692307692307,2.989215846983847
250,ANTONIO GOMIS,ATLÉTICO DE MADRID,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,ARTHUR VERMEEREN,ATLÉTICO DE MADRID,0,3,0.0,239,0,0.0,472,48,60,80.0,0.0,-0.5650052570227949
95,AXEL WITSEL,ATLÉTICO DE MADRID,2,29,0.07,239,0,0.0,15,1421,1547,91.8552036199095,6.206896551724138,-0.5650052570227949
250,CÉSAR AZPILICUETA,ATLÉTICO DE MADRID,0,17,0.0,74,2,0.12,163,576,660,87.27272727272727,0.0,1.289370971154583
250,GABRIEL ARMANDO DE ABREU,ATLÉTICO DE MADRID,0,22,0.0,239,0,0.0,51,912,1057,86.28192999053927,0.0,-0.5650052570227949
250,HORATIU MOLDOVAN,ATLÉTICO DE MADRID,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,ILIAS KOSTIS,ATLÉTICO DE MADRID,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,IVO GRBIC,ATLÉTICO DE MADRID,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,JAN OBLAK,ATLÉTICO DE MADRID,0,30,0.0,239,0,0.0,160,471,666,70.72072072072072,0.0,-0.5650052570227949
